timestamp,acceleration,pressure,model_velocity,stages,model_displacement,barometer_height,true_displacement,true_velocity
10.719,0.0018266489835957428,98.395,0.004458863744836143,0,-0.030709844383440158,0.5505025439164173,0.14317620688062607,0.0027914327861382647
10.823,0.0016320994537740597,98.403,0.004638718663579374,0,-0.030236770098202546,0.5228014767692857,0.14465403492134682,0.002975393919099661
10.927,0.0013967295662522324,98.399,0.00479621777262074,0,-0.029746153403520145,0.5598945531406927,0.14630786783626912,0.0031564531597423977
11.031,0.0014973278472882403,98.401,0.004946708758124847,0,-0.02923952122392137,0.5608952420207253,0.14795710339030305,0.003334250605861876
11.135,0.001283256550363222,98.404,0.0050912991468027215,0,-0.028717544812865137,0.5134383810441392,0.14936868783471427,0.0035085571107393403
11.239,0.0013086544828405566,98.394,0.00522607852052932,0,-0.028181041174163868,0.6278207487964474,0.1513197760754817,0.0036788408537011133
11.343,0.001360788434820603,98.399,0.005364889552247698,0,-0.027630310834379467,0.6511553324916486,0.15336619668424953,0.0038459005895594848
11.447,0.0020908050762965136,98.402,0.005544372414825787,0,-0.02706302921209165,0.6234475986115935,0.15527073024980584,0.004014088119953261
11.551,0.0055430675478493315,98.407,0.0059413337912813755,0,-0.02646577248937407,0.5182755867449879,0.1566988406442066,0.0042047952766461425
11.655,0.007056149042465294,98.395,0.00659649305397773,0,-0.0258138054934206,0.612154190604076,0.1586016786105953,0.004441392519322553
11.759,0.00639955074688589,98.405,0.007296189443023999,0,-0.025091386003576504,0.5386403808783858,0.16021121925316767,0.004723675454914846
11.863,0.009632161949739619,98.398,0.00812983850324852,1,-0.02428923255037034,0.5821400683154341,0.16207693180695967,0.005060398729542496
11.967,0.01918599299251936,98.395,0.010054928424099692,1,-0.023343624670148225,0.6685277314242613,0.16448523481370825,0.005554039047184935
12.071,0.030783168295054515,98.405,0.013079870674907198,1,-0.022140615116999877,0.5879250104089372,0.16678860305216278,0.006297664126299626
12.175,0.04220064896666539,98.391,0.01730157503637036,1,-0.02056077994001343,0.7351342854170078,0.17010761105775202,0.007384830608514212
12.279,0.05173026370507233,98.406,0.02261252835915437,1,-0.018485246563446158,0.63054220624787,0.173432758914581,0.008889058203690282
12.383,0.07216917616494198,98.406,0.02948184509624875,1,-0.015776339143765215,0.5349858444236358,0.17696088286664952,0.010923025388735207
12.487,0.11347439675989807,98.403,0.039561856752194216,1,-0.012186066647646147,0.49585451738941033,0.18124099309701316,0.013751477427430924
12.591,0.09930063949214361,98.405,0.051052704501153984,1,-0.007474109462472077,0.42950373551107596,0.18629767882182113,0.01743521124897346
12.695,0.09648454942887172,98.4,0.06166008018890057,1,-0.001613044658589185,0.44927621286394814,0.19242727160630968,0.02180250368910158
12.799,0.10189991233582314,98.393,0.07240261806451832,1,0.0053582156505885435,0.578586797458,0.20010228890752493,0.026799219475798636
12.903,0.1057916010083093,98.399,0.08362912262226697,1,0.013471866166301454,0.600999148755714,0.20891660957746383,0.03241095136960718
13.007,0.09810865190513571,98.401,0.09465848163761971,1,0.02274282158781549,0.5893042647627693,0.2187151394749134,0.03855749075922738
13.111,0.09676845869876696,98.396,0.10521863725287645,1,0.03313643177012139,0.6570863846902653,0.2297835745751214,0.04513973199743312
13.215,0.10386046089588241,98.394,0.11607788693565183,1,0.04464385102792477,0.7493092892205294,0.24224409373807831,0.05214420306456135
13.319,0.102422361453913,98.394,0.12723113956169496,1,0.057295920405786925,0.8313342253142485,0.2560766365215393,0.059558247873210325
13.423,0.09556851564669985,98.392,0.13795321103478042,1,0.07108550663680355,0.9350193888965662,0.2713227837979365,0.06729886825100624
13.527,0.09013681669454783,98.387,0.1480364341803789,1,0.08595696818799171,1.104915479183603,0.28817722930555134,0.07527077312120174
13.631,0.0930398758374524,98.385,0.15798816805589672,1,0.1018702475042782,1.2863990026809276,0.30665867913880357,0.08343815637352127
13.735,0.09123178535475654,98.395,0.1679968403017452,1,0.11882146793887545,1.288067717931571,0.32605954018742817,0.09178728590133332
13.839,0.08250933473265454,98.394,0.17745792441014432,1,0.13678511570389387,1.3002996511904807,0.3463712556565012,0.1002461617460166
