timestamp,acceleration,pressure,model_displacement,model_velocity,barometer_height,true_displacement,true_velocity,barometer_levels,stages
21.431,0.0011185147,102.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.535,-0.00039388984,102.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.639,0.0007217247,102.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.743,0.00063217245,102.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.847,2.2508204e-05,102.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.951,0.00018139184,102.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.055,-0.0001876913,102.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.159,0.0007894393,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.263,-0.00046454556,102.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.367,0.00023679622,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.471,0.00076078996,102.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.575,0.0011657625,102.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.679,-0.00045539998,102.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.783,0.0005169306,102.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.887,-2.1422282e-05,102.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.991,-0.00036349893,102.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.095,0.0002889391,102.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.199,4.97438e-05,102.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.303,8.0673024e-05,102.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.407,5.0773844e-05,102.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.511,-0.00022604316,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.615,0.00029146858,102.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.719,-0.00026570447,102.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.823,0.0025452804,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.927,-0.0014147572,102.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.031,-0.00020973198,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.135,-0.0010154098,102.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.239,-0.00019985624,102.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.343,-0.00017538108,102.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.447,-0.000502754,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.551,0.0002760142,102.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.655,-7.890165e-05,102.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.759,-0.00020720437,102.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.863,-0.00056256354,102.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
